iteracao;valor_fo
0;10000000.000000
1;10000000.000000
2;10000000.000000
3;10000000.000000
4;10000000.000000
5;10000000.000000
6;10000000.000000
7;10000000.000000
8;10000000.000000
9;10000000.000000
10;10000000.000000
11;10000000.000000
12;10000000.000000
13;10000000.000000
14;10000000.000000
15;10000000.000000
16;10000000.000000
17;10000000.000000
18;10000000.000000
19;10000000.000000
20;10000000.000000
21;10000000.000000
22;10000000.000000
23;10000000.000000
24;9166761.016493
25;9130529.991378
26;9130529.991378
27;9111207.030476
28;9091008.193573
29;9091008.143212
30;9091007.890596
31;9091005.808099
32;9091005.808099
33;9047719.539573
34;9047717.488746
35;9047717.488746
36;9047717.446880
37;9047717.446880
38;9000102.278080
39;9000100.348976
40;9000100.348976
41;9000100.348976
42;9000100.348976
43;8947473.126253
44;8947473.126253
45;8947473.126253
46;8947473.040434
47;8947473.040434
48;8947470.897135
49;8947470.897135
50;8888995.720012
51;8888995.720012
52;8888995.720012
53;8888995.720012
54;8888993.858336
55;8888993.849294
56;8823639.380906
57;8823639.373878
58;8823639.373878
59;8823639.373878
60;8823637.560029
61;8823637.534658
62;8823637.480593
63;8823637.480593
64;8823637.480593
65;8823637.480593
66;8750113.293803
67;8750113.293803
68;8750113.293803
69;8750113.293803
70;8750113.293803
71;8750113.293803
72;8750113.209363
73;8750113.195472
74;8750111.234961
75;8750111.234961
76;8750111.234961
77;8750111.234961
78;8666784.096056
79;8666784.096056
80;8666783.718868
81;8666783.718868
82;8666783.718868
83;8666783.718868
84;8666783.718868
85;8666783.718868
86;8666783.718868
87;8666783.718868
88;8666783.718868
89;8666783.718868
90;8666783.581261
91;8666783.581261
92;8666781.904512
93;8666781.904512
94;8571552.556128
95;8571550.139446
96;8571550.139446
97;8571550.139446
98;8571550.139446
99;8571550.139446
100;8571550.139446
101;8571550.126402
102;8571550.126402
103;8571550.126402
104;8571550.126402
105;8571549.911466
106;8571549.911466
107;8571549.879877
108;8571549.866158
109;8571549.700110
110;8571549.553965
111;8461669.786255
112;8461669.314280
113;8461669.314280
114;8461669.205931
115;8461668.810662
116;8461668.810662
117;8333470.581714
118;8333470.305920
119;8333470.305920
120;8333470.297272
121;8333470.297272
122;8333470.297272
123;8333470.297272
124;8333470.297272
125;8333470.297272
126;8333470.297272
127;8333470.297272
128;8333470.297272
129;8333470.175641
130;8333470.160033
131;8333470.159208
132;8333470.133524
133;8333470.118373
134;8333469.798642
135;8333469.798642
136;8333469.798642
137;8333469.798642
138;8261007.667909
139;8261007.011327
140;8261006.691389
141;8261006.691389
142;8261006.675783
143;8261006.675783
144;8261006.654911
145;8261006.553277
146;8261006.473494
147;8261006.449529
148;8261006.449529
149;8261006.421889
150;8261000.087351
151;8260999.492814
152;8260999.411709
153;8260999.359350
154;8260999.359350
155;8260999.359350
156;8260999.359350
157;8260999.359350
158;8260999.130812
159;8260998.944539
160;8260996.656445
161;8260996.044639
162;8260995.923740
163;8260995.894384
164;8260995.490291
165;8260995.490291
166;8260995.261753
167;8260995.026994
168;8260992.014662
169;8260992.014662
170;8260991.294291
171;8260991.070173
172;8260991.014309
