iteracao;valor_fo
0;10000000.000000
1;10000000.000000
2;10000000.000000
3;10000000.000000
4;10000000.000000
5;10000000.000000
6;10000000.000000
7;10000000.000000
8;10000000.000000
9;10000000.000000
10;10000000.000000
11;10000000.000000
12;10000000.000000
13;10000000.000000
14;10000000.000000
15;10000000.000000
16;10000000.000000
17;10000000.000000
18;10000000.000000
19;10000000.000000
20;10000000.000000
21;10000000.000000
22;10000000.000000
23;10000000.000000
24;10000000.000000
25;10000000.000000
26;3768865.502538
27;2819089.429416
28;2302764.871498
29;1605721.491550
30;921584.316115
31;500035.869319
32;446627.705612
33;235917.199061
34;37.467618
35;36.013938
36;34.094423
37;33.398987
38;32.763315
39;32.087095
40;31.687341
41;31.555444
42;31.353071
43;31.094560
44;30.859737
45;30.601449
MIP;10000000.000000
