run_id;arquivo_instancia;ninst;tem_janelas;heuristica_retirada;tamanho_clientes;nos_rede;veiculos;capacidade;tabu;tipo_geracao;tempo_exato;tempo_bp;fo_exato;fo_bp;gap_pct;igual_exato;nos_bp;colunas_bp;seq_exato;seq_bp;timestamp
tam25_cap200_tabu0_inst0_cons10;instancias/c101N.txt;0;1;10;25;27;3;200;0;PD;0.2858;205.2841;191.8136;191.8136;0.0;1;1;423;"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,5,3,7,8,10,11,9,6,4,2,1,26]";"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,5,3,7,8,10,11,9,6,4,2,1,26] ; V2: [0,20,24,25,23,22,21,26]";2026-03-25 18:27:00
tam25_cap200_tabu0_inst0_cons0;instancias/c101N.txt;0;1;0;25;27;3;200;0;PD;0.2858;222.3433;191.8136;191.8136;0.0;1;1;273;"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,5,3,7,8,10,11,9,6,4,2,1,26]";"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,5,3,7,8,10,11,9,6,4,2,1,26]";2026-03-25 18:38:21
tam25_cap200_tabu0_inst0_cons1;instancias/c101N.txt;0;1;1;25;27;3;200;0;PD;0.2858;377.9364;191.8136;191.8136;0.0;1;1;393;"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,5,3,7,8,10,11,9,6,4,2,1,26]";"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,5,3,7,8,10,11,9,6,4,2,1,26] ; V2: [0,20,24,25,23,22,21,26]";2026-03-25 18:44:39
tam25_cap200_tabu0_inst0_cons2;instancias/c101N.txt;0;1;2;25;27;3;200;0;PD;0.2858;539.4902;191.8136;191.8136;0.0;1;1;509;"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,5,3,7,8,10,11,9,6,4,2,1,26]";"V0: [0,5,3,7,8,10,11,9,6,4,2,1,26] ; V1: [0,13,17,18,19,15,16,14,12,26] ; V2: [0,20,24,25,23,22,21,26]";2026-03-25 18:53:38
tam25_cap200_tabu0_inst0_cons3;instancias/c101N.txt;0;1;3;25;27;3;200;0;PD;0.2858;803.6397;191.8136;211.5798;10.3049;0;45;1050;"V0: [0,13,17,18,19,15,16,14,12,26] ; V1: [0,20,24,25,23,22,21,26] ; V2: [0,5,3,7,8,10,11,9,6,4,2,1,26]";"V0: [0,20,24,25,23,22,26] ; V1: [0,13,17,18,19,15,16,14,12,1,26] ; V2: [0,5,3,7,8,10,11,9,6,4,2,21,26]";2026-03-25 19:07:02
tam25_cap200_tabu0_inst1_cons10;instancias/c101_multpJan_open.txt;1;0;10;25;27;3;200;0;PD;1203.0711;3766.1899;188.0493;189.3041;0.6673;0;4;742;"V0: [0,11,12,14,16,15,19,18,17,13,26] ; V1: [0,10,8,9,6,4,2,1,3,5,7,26] ; V2: [0,21,22,23,25,24,20,26]";"V0: [0,7,8,10,11,9,6,4,2,1,3,5,26] ; V1: [0,21,22,25,24,20,26] ; V2: [0,13,15,12,14,16,19,18,17,23,26]";2026-03-25 20:29:51
tam25_cap200_tabu0_inst1_cons0;instancias/c101_multpJan_open.txt;1;0;0;25;27;3;200;0;PD;1203.0711;4701.9394;188.0493;219.4;16.6715;0;7;1071;"V0: [0,11,12,14,16,15,19,18,17,13,26] ; V1: [0,10,8,9,6,4,2,1,3,5,7,26] ; V2: [0,21,22,23,25,24,20,26]";"V0: [0,25,23,10,26] ; V1: [0,13,17,18,19,15,16,14,12,11,26] ; V2: [0,20,24,22,21,8,9,6,7,4,2,1,3,5,26]";2026-03-25 21:48:13
tam25_cap200_tabu0_inst1_cons1;instancias/c101_multpJan_open.txt;1;0;1;25;27;3;200;0;PD;1203.0711;3618.8218;188.0493;204.3185;8.6516;0;30;1519;"V0: [0,11,12,14,16,15,19,18,17,13,26] ; V1: [0,10,8,9,6,4,2,1,3,5,7,26] ; V2: [0,21,22,23,25,24,20,26]";"V0: [0,13,15,12,14,16,19,18,17,24,26] ; V1: [0,22,25,26] ; V2: [0,20,21,23,10,11,9,8,6,4,2,1,3,5,7,26]";2026-03-25 22:48:32
tam25_cap200_tabu0_inst1_cons2;instancias/c101_multpJan_open.txt;1;0;2;25;27;3;200;0;PD;1203.0711;4049.2914;188.0493;220.2763;17.1375;0;36;2106;"V0: [0,11,12,14,16,15,19,18,17,13,26] ; V1: [0,10,8,9,6,4,2,1,3,5,7,26] ; V2: [0,21,22,23,25,24,20,26]";"V0: [0,11,12,14,16,15,19,18,17,13,26] ; V1: [0,9,6,8,23,26] ; V2: [0,20,21,22,24,25,10,7,4,2,1,3,5,26]";2026-03-25 23:56:01
tam25_cap200_tabu0_inst1_cons3;instancias/c101_multpJan_open.txt;1;0;3;25;27;3;200;0;PD;1203.0711;1269.6313;188.0493;189.0022;0.5067;0;43;1855;"V0: [0,11,12,14,16,15,19,18,17,13,26] ; V1: [0,10,8,9,6,4,2,1,3,5,7,26] ; V2: [0,21,22,23,25,24,20,26]";"V0: [0,20,24,25,22,21,26] ; V1: [0,23,13,17,18,19,15,16,14,12,26] ; V2: [0,7,5,3,1,2,4,6,8,9,11,10,26]";2026-03-26 00:17:11
