sigla;latitude;longitude;fonte
FPANE;-22.46391639;-40.05731667;Localização das Plataformas(1).xlsx
FPCGZ;-22.95337917;-40.72554611;Localização das Plataformas(1).xlsx
P-40;-22.54742194;-40.06744306;Localização das Plataformas(1).xlsx
P-43;-22.55011;-40.25944889;Localização das Plataformas(1).xlsx
P-48;-22.66388389;-40.24018889;Localização das Plataformas(1).xlsx
P-51;-22.63440278;-40.09363722;Localização das Plataformas(1).xlsx
P-53;-22.42401667;-39.95766667;Localização das Plataformas(1).xlsx
P-54;-21.96911389;-39.82530278;Localização das Plataformas(1).xlsx
P-58;-21.21508417;-39.99736472;Localização das Plataformas(1).xlsx
P-65;-22.70183667;-40.67710639;Localização das Plataformas(1).xlsx
