C102

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   READY TIME2  DUE DATE2 SERVICE   TIME
    0      40         50          0          0       1236       1246          1236   2     0   
    1      45         68         10          0       1127       1137          1127   2    90   
    2      45         70         30          0       1125       1135          1125   2    90   
    3      42         66         10          0       1129       1139          1129   2    90   
    4      42         68         10        727        782       792           782   2    90   
    5      42         65         10          0       1130       1140          1130   2    90   
    6      40         69         20        621        702       712           702   2    90   
    7      40         66         20          0       1130       1140          1130   2    90   
    8      38         68         20        255        324       334           324   2    90   
    9      38         70         10        534        605       615           605   2    90   
   10      35         66         10        357        410       420           410   2    90   
   11      35         69         10        448        505       515           505   2    90   
   12      25         85         20          0       1107       1117          1107   2    90   
   13      22         75         30         30         92       102            92   2    90   
   14      22         85         10        567        620       630           620   2    90   
   15      20         80         40        384        429       439           429   2    90   
   16      20         85         40        475        528       538           528   2    90   
   17      18         75         20         99        148       158           148   2    90   
   18      15         75         20        179        254       264           254   2    90   
   19      15         80         10        278        345       355           345   2    90   
   20      30         50         10         10         73       83            73   2    90   
   21      30         52         20          0       1135       1145          1135   2    90   
   22      28         52         20        812        883       893           883   2    90   
   23      28         55         10        732        777       787           777   2    90   
   24      25         50         10         65        144       154           144   2    90   
   25      25         52         40        169        224       234           224   2    90   
   26      25         55         10          0       1130       1140          1130   2    90   
   27      23         52         10        261        316       326           316   2    90   
   28      23         55         20        546        593       603           593   2    90   
   29      20         50         10        358        405       415           405   2    90   
   30      20         55         10        449        504       514           504   2    90   
   31      10         35         20          0       1112       1122          1112   2    90   
   32      10         40         30         31        100       110           100   2    90   
   33       8         40         40         87        158       168           158   2    90   
   34       8         45         20          0       1113       1123          1113   2    90   
   35       5         35         10        283        344       354           344   2    90   
   36       5         45         10        665        716       726           716   2    90   
   37       2         40         20          0       1106       1116          1106   2    90   
   38       0         40         30        479        522       532           522   2    90   
   39       0         45         20        567        624       634           624   2    90   
   40      35         30         10        264        321       331           321   2    90   
   41      35         32         10        166        235       245           235   2    90   
   42      33         32         20         68        149       159           149   2    90   
   43      33         35         10         16         80       90            80   2    90   
   44      32         30         10        359        412       422           412   2    90   
   45      30         30         10        541        600       610           600   2    90   
   46      30         32         30        448        509       519           509   2    90   
   47      30         35         10       1054       1127       1137          1127   2    90   
   48      28         30         10          0       1122       1132          1122   2    90   
   49      28         35         10       1001       1066       1076          1066   2    90   
   50      26         32         10          0       1123       1133          1123   2    90   
   51      25         30         10        725        786       796           786   2    90   
   52      25         35         10          0       1124       1134          1124   2    90   
   53      44          5         20        286        347       357           347   2    90   
   54      42         10         40        186        257       267           257   2    90   
   55      42         15         10         95        158       168           158   2    90   
   56      40          5         30        385        436       446           436   2    90   
   57      40         15         40         35         87       97            87   2    90   
   58      38          5         30        471        534       544           534   2    90   
   59      38         15         10          0       1110       1120          1110   2    90   
   60      35          5         20        562        629       639           629   2    90   
   61      50         30         10        531        610       620           610   2    90   
   62      50         35         20        262        317       327           317   2    90   
   63      50         40         50        171        218       228           218   2    90   
   64      48         30         10        632        693       703           693   2    90   
   65      48         40         10         76        129       139           129   2    90   
   66      47         35         10        826        875       885           875   2    90   
   67      47         40         10         12         77       87            77   2    90   
   68      45         30         10        734        777       787           777   2    90   
   69      45         35         10        916        969       979           969   2    90   
   70      95         30         30        387        456       466           456   2    90   
   71      95         35         20        293        360       370           360   2    90   
   72      53         30         10          0       1122       1132          1122   2    90   
   73      92         30         10        478        551       561           551   2    90   
   74      53         35         50        353        412       422           412   2    90   
   75      45         65         20          0       1130       1140          1130   2    90   
   76      90         35         10        203        260       270           260   2    90   
   77      88         30         10        574        643       653           643   2    90   
   78      88         35         20        109        170       180           170   2    90   
   79      87         30         10        668        731       741           731   2    90   
   80      85         25         10        769        820       830           820   2    90   
   81      85         35         30         47        124       134           124   2    90   
   82      75         55         20          0       1110       1120          1110   2    90   
   83      72         55         10          0       1113       1123          1113   2    90   
   84      70         58         20        458        523       533           523   2    90   
   85      68         60         30          0       1116       1126          1116   2    90   
   86      66         55         10        173        238       248           238   2    90   
   87      65         55         20         85        144       154           144   2    90   
   88      65         60         30        645        708       718           708   2    90   
   89      63         58         10        737        802       812           802   2    90   
   90      60         55         10         20         84       94            84   2    90   
   91      60         60         10          0       1123       1133          1123   2    90   
   92      67         85         20        368        441       451           441   2    90   
   93      65         85         40        475        518       528           518   2    90   
   94      65         82         10          0       1105       1115          1105   2    90   
   95      62         80         30          0       1108       1118          1108   2    90   
   96      60         80         10          0       1109       1119          1109   2    90   
   97      60         85         30        561        622       632           622   2    90   
   98      58         75         20          0       1115       1125          1115   2    90   
   99      55         80         10        743        820       830           820   2    90   
  100      55         85         20        647        726       736           726   22        12
