
############################################
TESTANDO GAMMA_MAX=200 | GAMMA_INI=[80] | SM=20
############################################

==============================
NOVA - tam=50 cap=200 VEIC=7 gamma_max=200 gamma_ini=[80] SM=20 ninst=18 INSTANCIA=instancias/r110.txt
==============================
cliente 16 | lambda=1.000000 | slack=0.000000 | y_low=0.000000 | y_up=0.000000 | total_real=1.000000
cliente 17 | lambda=0.997222 | slack=0.000000 | y_low=0.000000 | y_up=0.002778 | total_real=1.000000
cliente 18 | lambda=0.997222 | slack=0.000000 | y_low=0.000000 | y_up=0.002778 | total_real=1.000000
cliente 19 | lambda=0.961111 | slack=0.000000 | y_low=0.000000 | y_up=0.038889 | total_real=1.000000
cliente 20 | lambda=1.000000 | slack=0.000000 | y_low=0.000000 | y_up=0.000000 | total_real=1.000000
cliente 21 | lambda=1.000000 | slack=0.000000 | y_low=0.000000 | y_up=0.000000 | total_real=1.000000
cliente 22 | lambda=1.000000 | slack=0.000000 | y_low=0.000000 | y_up=0.000000 | total_real=1.000000
cliente 23 | lambda=1.000000 | slack=0.000000 | y_low=0.000000 | y_up=0.000000 | total_real=1.000000
cliente 24 | lambda=1.000000 | slack=0.000000 | y_low=0.000000 | y_up=0.000000 | total_real=1.000000
cliente 25 | lambda=1.000000 | slack=0.000000 | y_low=0.000000 | y_up=0.000000 | total_real=1.000000
cliente 26 | lambda=1.000000 | slack=0.000000 | y_low=0.000000 | y_up=0.000000 | total_real=1.000000
cliente 27 | lambda=1.000000 | slack=0.000000 | y_low=0.000000 | y_up=0.000000 | total_real=1.000000
cliente 28 | lambda=1.000000 | slack=0.000000 | y_low=0.000000 | y_up=0.000000 | total_real=1.000000
