run_id;arquivo_instancia;ninst;tem_janelas;heuristica_retirada;tamanho_clientes;nos_rede;veiculos;capacidade;tabu;tipo_geracao;tempo_exato;tempo_bp;fo_exato;fo_bp;gap_pct;igual_exato;nos_bp;colunas_bp;seq_exato;seq_bp;timestamp;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons0;instancias/r101,txt;0;0;0;25;27;8;200;0;PD;0,7642;67,9489;618,3299;618,3299;0;1;1;872;"V0: [0,12,9,20,1,26] ; V1: [0,11,19,10,26] ; V2: [0,18,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,5,16,6,26] ; V6: [0,2,21,3,24,25,26] ; V7: [0,14,15,13,26]";"V0: [0,23,22,4,25,26] ; V1: [0,5,16,6,26] ; V2: [0,12,9,20,1,26] ; V3: [0,2,21,3,24,26] ; V4: [0,11,19,10,26] ; V5: [0,7,8,17,26] ; V6: [0,18,26] ; V7: [0,14,15,13,26]";27/03/2026 20:47;;Analise;GAP;;;;;;;
tam25_cap200_tabu0_inst0_cons1;instancias/r101,txt;0;0;1;25;27;8;200;0;PD;0,7642;20,2125;618,3299;618,3299;0;1;1;992;"V0: [0,12,9,20,1,26] ; V1: [0,11,19,10,26] ; V2: [0,18,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,5,16,6,26] ; V6: [0,2,21,3,24,25,26] ; V7: [0,14,15,13,26]";"V0: [0,2,21,3,24,25,26] ; V1: [0,12,9,20,1,26] ; V2: [0,11,19,10,26] ; V3: [0,23,22,4,26] ; V4: [0,18,26] ; V5: [0,5,16,6,26] ; V6: [0,14,15,13,26] ; V7: [0,7,8,17,26]";27/03/2026 20:47;;heuristica;MÁXIMO;inst;MÍNIMO;inst;MÉDIA;;;
tam25_cap200_tabu0_inst0_cons2;instancias/r101,txt;0;0;2;25;27;8;200;0;PD;0,7642;23,3106;618,3299;618,3299;0;1;1;1208;"V0: [0,12,9,20,1,26] ; V1: [0,11,19,10,26] ; V2: [0,18,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,5,16,6,26] ; V6: [0,2,21,3,24,25,26] ; V7: [0,14,15,13,26]";"V0: [0,12,9,20,1,26] ; V1: [0,23,22,4,26] ; V2: [0,11,19,10,26] ; V3: [0,7,8,17,26] ; V4: [0,14,15,13,26] ; V5: [0,18,26] ; V6: [0,5,16,6,26] ; V7: [0,2,21,3,24,25,26]";27/03/2026 20:47;;0;9,7493;instancias/c202,txt;0;instancias/r101,txt;2,68375;;;
tam25_cap200_tabu0_inst0_cons3;instancias/r101,txt;0;0;3;25;27;8;200;0;PD;0,7642;2,2683;618,3299;630,3804;1,9489;0;1;952;"V0: [0,12,9,20,1,26] ; V1: [0,11,19,10,26] ; V2: [0,18,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,5,16,6,26] ; V6: [0,2,21,3,24,25,26] ; V7: [0,14,15,13,26]";"V0: [0,12,9,20,26] ; V1: [0,7,8,26] ; V2: [0,18,26] ; V3: [0,14,15,6,13,26] ; V4: [0,5,16,17,26] ; V5: [0,23,22,4,26] ; V6: [0,11,19,10,1,26] ; V7: [0,2,21,3,24,25,26]";27/03/2026 20:47;;1;17,725;instancias/c202,txt;0;instancias/r101,txt;2,88909;;;
tam25_cap200_tabu0_inst0_cons22;instancias/r101,txt;0;0;22;25;27;8;200;0;PD;0,7642;99,9047;618,3299;618,3299;0;1;1;480;"V0: [0,12,9,20,1,26] ; V1: [0,11,19,10,26] ; V2: [0,18,26] ; V3: [0,23,22,4,26] ; V4: [0,7,8,17,26] ; V5: [0,5,16,6,26] ; V6: [0,2,21,3,24,25,26] ; V7: [0,14,15,13,26]";"V0: [0,5,16,6,26] ; V1: [0,14,15,13,26] ; V2: [0,12,9,20,1,26] ; V3: [0,7,8,17,26] ; V4: [0,18,26] ; V5: [0,11,19,10,26] ; V6: [0,2,21,3,24,26] ; V7: [0,23,22,4,25,26]";27/03/2026 20:49;;2;4,95;instancias/c202,txt;0;instancias/r101,txt;0,86775;;;
tam25_cap200_tabu0_inst0_cons0;instancias/r102,txt;0;0;0;25;27;7;200;0;PD;1201,1008;2666,8414;548,1078;548,1078;0;1;713;2793;"V0: [0,14,16,6,13,26] ; V1: [0,3,9,20,1,26] ; V2: [0,7,11,19,10,26] ; V3: [0,2,15,22,4,25,26] ; V4: [0,18,26] ; V5: [0,8,17,5,26] ; V6: [0,21,23,24,12,26]";"V0: [0,14,16,6,13,26] ; V1: [0,7,11,19,10,26] ; V2: [0,21,23,24,12,26] ; V3: [0,2,15,22,4,25,26] ; V4: [0,8,17,5,26] ; V5: [0,3,9,20,1,26] ; V6: [0,18,26]";27/03/2026 21:54;;3;8,4445;instancias/c201,txt;0;instancias/r101,txt;3,671118182;;;
tam25_cap200_tabu0_inst0_cons1;instancias/r102,txt;0;0;1;25;27;7;200;0;PD;1201,1008;2980,3445;548,1078;548,1078;0;1;2017;2289;"V0: [0,14,16,6,13,26] ; V1: [0,3,9,20,1,26] ; V2: [0,7,11,19,10,26] ; V3: [0,2,15,22,4,25,26] ; V4: [0,18,26] ; V5: [0,8,17,5,26] ; V6: [0,21,23,24,12,26]";"V0: [0,21,23,24,12,26] ; V1: [0,2,15,22,4,25,26] ; V2: [0,3,9,20,1,26] ; V3: [0,8,17,5,26] ; V4: [0,18,26] ; V5: [0,7,11,19,10,26] ; V6: [0,14,16,6,13,26]";27/03/2026 22:43;;22;25,9309;instancias/r102,txt;0;instancias/r101,txt;5,2196;;;
tam25_cap200_tabu0_inst0_cons2;instancias/r102,txt;0;0;2;25;27;7;200;0;PD;1201,1008;2381,7852;548,1078;548,1078;0;1;1435;2268;"V0: [0,14,16,6,13,26] ; V1: [0,3,9,20,1,26] ; V2: [0,7,11,19,10,26] ; V3: [0,2,15,22,4,25,26] ; V4: [0,18,26] ; V5: [0,8,17,5,26] ; V6: [0,21,23,24,12,26]";"V0: [0,8,17,5,26] ; V1: [0,3,9,20,1,26] ; V2: [0,21,23,24,12,26] ; V3: [0,18,26] ; V4: [0,7,11,19,10,26] ; V5: [0,14,16,6,13,26] ; V6: [0,2,15,22,4,25,26]";27/03/2026 23:23;;10;3,3816;instancias/c109,txt;0;instancias/r101,txt;0,2570625;;;
tam25_cap200_tabu0_inst0_cons3;instancias/r102,txt;0;0;3;25;27;7;200;0;PD;1201,1008;106,3065;548,1078;551,622;0,6411;0;211;2485;"V0: [0,14,16,6,13,26] ; V1: [0,3,9,20,1,26] ; V2: [0,7,11,19,10,26] ; V3: [0,2,15,22,4,25,26] ; V4: [0,18,26] ; V5: [0,8,17,5,26] ; V6: [0,21,23,24,12,26]";"V0: [0,2,15,22,4,25,12,26] ; V1: [0,3,9,20,1,26] ; V2: [0,18,6,13,26] ; V3: [0,8,26] ; V4: [0,7,11,19,10,26] ; V5: [0,14,16,17,5,26] ; V6: [0,21,23,24,26]";27/03/2026 23:25;;;;;0;;;;;
tam25_cap200_tabu0_inst0_cons22;instancias/r102,txt;0;0;22;25;27;7;200;0;PD;1201,1008;3600,2436;548,1078;690,2369;25,9309;0;1878;714;"V0: [0,14,16,6,13,26] ; V1: [0,3,9,20,1,26] ; V2: [0,7,11,19,10,26] ; V3: [0,2,15,22,4,25,26] ; V4: [0,18,26] ; V5: [0,8,17,5,26] ; V6: [0,21,23,24,12,26]";"V0: [0,21,23,24,12,26] ; V1: [0,2,15,22,4,25,26] ; V2: [0,18,6,13,26] ; V3: [0,8,10,26] ; V4: [0,16,17,26] ; V5: [0,5,11,19,3,26] ; V6: [0,14,9,20,1,7,26]";28/03/2026 00:25;;;;;;;;;;
