no_id,profundidade,lb_confiavel,cg_convergiu,motivo_conv,custo_lp,melhor_lp_valido,custo_mip,slack_sum_final,solucao_inteira,abriu_filhos,z_inc,z_li,n_colunas_pool
0,0,False,False,pricing_exato_busca_incompleta,107.51966894255534,0.0,181.91713294615585,0.0,True,True,181.91713294615585,,162
2,1,False,False,pricing_exato_busca_incompleta,113.03447088075835,113.03447088075835,,0.0,False,True,181.91713294615585,,214
4,2,False,False,pricing_timeout_cpp,108.06522361571446,108.06522361571442,,0.0,False,True,181.91713294615585,,284
6,3,False,False,pricing_exato_busca_incompleta,109.9621298278459,109.9621298278459,,0.0,False,True,181.91713294615585,,308
8,4,False,False,pricing_exato_busca_incompleta,112.37831792337572,96.68378634292579,,0.0,False,True,181.91713294615585,,371
10,5,False,False,pricing_exato_busca_incompleta,115.45758743170096,96.68378634292579,,0.0,False,True,181.91713294615585,,383
12,6,False,False,pricing_exato_busca_incompleta,122.27657130942185,96.68378634292579,,0.0,False,True,181.91713294615585,,426
14,7,False,False,pricing_exato_busca_incompleta,132.07266233620163,132.07266233620163,132.07266233620163,0.0,True,False,132.07266233620163,,432
13,7,False,False,pricing_exato_busca_incompleta,122.27657130942185,122.27657130942185,,0.0,False,True,132.07266233620163,,432
16,8,False,False,pricing_exato_busca_incompleta,,147.86935627591794,,0.0,False,False,132.07266233620163,,432
15,8,False,False,pricing_timeout_cpp,127.88279752739814,96.68378634292579,,0.0,False,True,132.07266233620163,,437
18,9,False,False,pricing_timeout_cpp,,153.00518960925126,,0.0,False,False,132.07266233620163,,439
17,9,False,False,pricing_exato_busca_incompleta,169.48815811902256,123.837885873907,,0.0,False,True,132.07266233620163,,444
20,10,True,True,convergiu_sem_coluna_negativa,183.79377966871976,183.79377966871976,183.79377966871976,0.0,True,False,132.07266233620163,,454
19,10,False,False,pricing_exato_busca_incompleta,169.73788034124476,123.837885873907,,0.0,False,True,132.07266233620163,,456
22,11,True,True,convergiu_sem_coluna_negativa,183.79377966871976,183.79377966871976,183.79377966871976,0.0,True,False,132.07266233620163,,463
21,11,False,False,sem_coluna_negativa_com_slack,123.837885873907,123.837885873907,,1.0,False,False,132.07266233620163,,463
11,6,False,False,pricing_exato_busca_incompleta,115.45758743170097,115.19110595021948,132.07266233620163,0.0,True,True,132.07266233620163,,471
24,7,True,True,convergiu_sem_coluna_negativa,132.07266233620163,132.07266233620163,132.07266233620163,0.0,True,False,132.07266233620163,,473
23,7,False,False,pricing_exato_busca_incompleta,115.45758743170097,115.45758743170097,183.79377966871976,0.0,True,True,132.07266233620163,,473
26,8,False,False,pricing_exato_busca_incompleta,,153.00518960925126,,0.0,False,False,132.07266233620163,,473
25,8,False,False,pricing_exato_busca_incompleta,115.45758743170097,115.45758743170097,183.79377966871976,0.0,True,True,132.07266233620163,,473
28,9,False,False,pricing_exato_busca_incompleta,,145.18533891636793,,0.0,False,False,132.07266233620163,,476
27,9,False,False,pricing_exato_busca_incompleta,142.03669967248945,96.68378634292579,183.79377966871976,0.0,True,True,132.07266233620163,,494
30,10,True,True,convergiu_sem_coluna_negativa,181.87173012724975,181.87173012724975,183.79377966871976,0.0,True,False,132.07266233620163,,498
29,10,False,False,pricing_exato_busca_incompleta,142.03669967248945,116.49846380802438,183.79377966871976,0.0,True,True,132.07266233620163,,506
32,11,True,True,convergiu_sem_coluna_negativa,181.87173012724972,181.87173012724972,183.79377966871976,0.0,True,False,132.07266233620163,,508
31,11,False,False,sem_coluna_negativa_com_slack,116.4984638080244,116.4984638080244,,1.0,False,False,132.07266233620163,,514
9,5,False,False,pricing_exato_busca_incompleta,112.3783179233757,112.3783179233757,132.07266233620163,0.0,True,True,132.07266233620163,,522
34,6,False,False,pricing_exato_busca_incompleta,115.45758743170097,113.70314320669291,132.07266233620163,0.0,True,True,132.07266233620163,,526
36,7,True,True,convergiu_sem_coluna_negativa,132.07266233620163,132.07266233620163,132.07266233620163,0.0,True,False,132.07266233620163,,528
35,7,False,False,pricing_exato_busca_incompleta,115.45758743170097,115.45758743170097,,0.0,False,True,132.07266233620163,,530
38,8,False,False,pricing_exato_busca_incompleta,,145.18533891636793,,0.0,False,False,132.07266233620163,,530
37,8,False,False,pricing_exato_busca_incompleta,115.45758743170097,115.45758743170097,,0.0,False,True,132.07266233620163,,530
40,9,False,False,pricing_exato_busca_incompleta,136.61033891636794,136.61033891636794,136.61033891636794,0.0,True,False,132.07266233620163,,534
39,9,False,False,pricing_exato_busca_incompleta,116.49846380802441,111.40326666397196,,0.0,False,True,132.07266233620163,,538
42,10,True,True,convergiu_sem_coluna_negativa,136.7120650455417,136.7120650455417,136.7120650455417,0.0,True,False,132.07266233620163,,546
41,10,False,False,TIME_MAX,128.44486064337025,116.6013015703059,,0.0,False,False,132.07266233620163,,572
